id_efectivo,id_especialidad,id_unidad_actual,id_rango_actual,nombre,ci,fecha_nacimiento,genero,departamento_origen,fecha_ingreso,estado,salario_mensual
205,12,30,12,vásquez cruz edwin juan,6227389,03-06-1976,hombre,Cochabamba,09/01/2000,en actividad,"Bs 7.668,46"
206,13,44,10,Aliaga García Pedro Adrián,4497162,06-06-1992,masc,Santa Cruz,18/12/2010,act,"Bs 6.018,96"
207,20,10,10,Ramos Mamani Roberto,10748854BN,08/02/1993,Hombre,BENI,2013/08/03,ACTIVO,6184.92
208,12,47,6,herrera ticona roxana,CI: 12563695,05-02-1984,mujer,LaPaz,15/12/2009,ACTV,"Bs.- 4,253.84"
209,17,25,1,Zenteno Pérez Mario,8618181SC,20/01/2000,masculino,SCZ,10-08-2020,ACTV,"Bs. 1,911.81"
210,2,13,2,huanca condori fernando,3177250 - tj,08-07-1999,M,Tj,19/01/2017,ACTIVO,2416.45
211,12,46,8,Alanoca\tChoque Miguel,CI: 13473481,09/10/1988,masc,cochabamba,12-03-2006,en actividad,"4,541.58 Bs"
212,15,45,5,Escobar Limachi Hugo,CI: 13856102,19930206,Hombre,Or.,20130913,Activo,"3,979.59"
213,12,29,3,Ramos Salazar Armando,7292514,19940701,masc,SCZ,20/05/2012,A,"Bs.- 2,671.58"
214,14,29,12,  Escobar Ochoa Arturo  ,5424046 - or,14-12-1990,Masculino,ORURO,03-17-2010,activo,BS 9357.44
215,19,16,6,Montaño Apaza Jhonny Pedro,5445763LP,1987/05/26,MASCULINO,LaPaz,19-02-2009,ACTV,"4,726.53"
216,12,28,5,Salazar Nina Pedro,1938227 - lp,28/02/1993,Masc.,La Paz,21/12/2014,ACTV,4288.66
217,3,15,12,Poma Herrera José,CI: 10651174,26/05/1988,hombre,Or.,03-05-2012,Act.,BS 8736.26
218,15,34,7,Aliaga Tito Luis,2872209,24-04-1993,hombre,COCHABAMBA,19-01-2011,BAJA,BS 4585.39
219,8,16,15,Rojas Escobar Jorge,1.334.2456 SC,25/05/1966,Hombre,SC,06-22-1991,reserva,BS 14030.05
220,12,10,2,Herrera Condori Iván,4917305,1999/02/24,Masculino,Bn,04-20-2017,reserva,"Bs 2.776,56"
221,1,25,2,Pérez   Escobar   Raúl,null,06/05/1998,null,Sta Cruz,07/05/2016,null,"2,588.47"
222,7,33,2,vásquez saavedra sandra,2476741SC,23/09/2005,mujer,SC,2023/01/08,R,2353
223,18,18,1,Valda Nina José,14671059 - ch,2001/03/11,masc,chuquisaca,05/11/2022,Act.,"2,122.26 Bs"
224,5,20,2,Cruz Tito Iván,10082410-lp,25/07/2000,Hombre,Lp,2019/11/19,rsv,"Bs.- 2,363.12"
225,13,45,1,Choque Orellana Álvaro,9.772.377 SC,02/08/2002,Masculino,Santa Cruz,01-02-2024,activo,"Bs 2.376,30"
226,5,50,3,Zenteno Cabrera Iván,13387283 - sc,02-05-1986,masc,Sta Cruz,25/01/2006,BAJA,"Bs.3,105.25"
227,16,9,11,Tito Laura David,7500504-LP,1980/04/08,masc,L.P.,25/07/2000,Bja,"8,457.23"
228,11,26,6,Paredes   Poma   Marcelo,11199372-or,10-18-1998,hombre,Oruro,09-04-2016,activo.,BS 4612.03
229,14,19,2,Sánchez Aliaga Iván,8740121,12-17-1998,Masc.,POTOSÍ,08-27-2017,Activo,"2,192.83 Bs"
230,4,6,2,Valda Montaño Germán,6437072 - lp,15/12/1999,Masc.,LP,17/02/2019,Act.,"Bs.- 2,670.16"
231,10,47,4,Vargas Aliaga Mario Mario,8039412,05-21-1994,masculino,santa cruz,05-02-2014,Bja,"Bs. 2,893.60"
232,20,41,3,Chambi Mamani Erick,10182868 - lp,02-04-1997,H,la paz,20170302,activo,2583.05
233,15,48,2,Callisaya Chambi Javier,C.I. 10431768 SC,03/01/2003,masculino,SANTA CRUZ,12/06/2023,Reserva,"Bs 2.740,20"
234,16,47,1,García Salazar Álvaro,11552509 - sc,07-20-2002,masculino,Sta. Cruz,17-05-2022,ACTV,"Bs. 2,281.34"
235,14,3,7,Blanco Rodríguez Roberto Mauricio,4478434-OR,06-18-1990,Hombre,Oruro,21/01/2011,Activo,"Bs 4.485,54"
236,16,3,10,ROJAS VILLCA CARLOS,12282224TJ,NULL,M,Tj.,NULL,NULL,6572.09
237,6,39,6,Villca Nina Martha,3.784.505 SC,23-05-1983,Mujer,SANTA CRUZ,12-02-2006,Act.,3679.37
238,7,22,2,Quispe   Arce   Miguel,9389519-sc,12-28-2005,MASCULINO,SANTA CRUZ,2025/05/25,EN ACTIVIDAD,"Bs 2.702,11"
239,15,3,5,Yujra\tQuiroga Andrés,2460891-SC,25/09/1983,Masc.,SC,2005/01/19,ACTIVO,"Bs. 3,958.29"
240,9,10,4,GARCÍA CRUZ ANTONIO,10216826,10-08-1989,M,Santa Cruz,02-10-2009,ACTIVO,"3,235.51 Bs"
241,7,46,5,Callisaya Herrera Wilson,6241884,25/02/1997,masculino,Sta. Cruz,05/10/2022,en actividad,4144.68
242,15,32,4,Callisaya Machaca Wálter,14233510 - sc,16/02/1980,Masculino,Sta. Cruz,16-06-2000,ACTIVO,"Bs 3.064,22"
243,16,25,2,RIVERA LIMACHI RAÚL,5088457 - lp,07/06/1999,Masculino,LaPaz,26/07/2021,Bja,"Bs 2.550,41"
244,11,32,6,Huanca   Chambi   Andrés,14657773,07/02/1981,Masc.,La  Paz,03-19-2006,EN RESERVA,"Bs. 4,371.53"
245,3,38,5,Yujra Sánchez Jhonny,8293509,1980/10/17,Hombre,Chuquisaca,28-03-2003,activo,"Bs. 3,650.91"
246,16,9,2,  Poma Nina Marco  ,4543617,2001/09/13,MASCULINO,CBBA,05-07-2021,act,2779
247,15,33,2,Cabrera   Blanco   Erick,CI: 8142130,2004/09/27,Masc.,SC,07-12-2025,activo.,2443.58
248,5,47,1,Rodríguez Rivera Nelson,12584621-sc,17/08/2002,Masc.,SCZ,09-20-2020,ACTV,2181.82
249,12,19,8,cabrera calle nelson,6561881,02/03/1992,H,SCZ,2014/12/26,activo,"Bs. 4,515.81"
250,4,39,1,Copa Torrez Oscar,5311001-LP,24/10/2000,Masc.,La Paz,15/11/2019,ACTIVO,1985
251,6,14,9,Limachi   Aliaga   Rolando,1.208.4157 CB,12-27-1997,masculino,CBBA,20200121,activo.,"Bs. 6,355.98"
252,11,34,6,Mamani Fernández Rubén Franz,8529960-BN,18/02/1981,Masculino,Bn,2005/06/28,act,"4,726.73 Bs"
253,11,36,2,ROJAS OCHOA RODRIGO,12580948-CB,01/11/1998,masc,Cochabamba,14/01/2016,ACTIVO,2202.93
254,20,9,1,Alanoca Rodríguez Carla,3012881,11-25-2004,Mujer,SCZ,02-23-2023,Activo,"Bs. 2,064.42"
255,6,29,3,Villca Choque José,14636535-LP,1982/08/07,masculino,La  Paz,21/03/2006,ACTIVO,2679.49
256,9,10,6,GUTIÉRREZ TITO CARLOS,C.I. 1634776 SC,1990/07/19,Masculino,santa cruz,23/09/2008,en reserva,4188
257,3,24,1,Apaza Villca Jhonny,7721201 - sc,27/02/2003,hombre,Santa Cruz,2024/05/21,Activo,"2,235.95 Bs"
258,13,5,11,Quispe Ticona Gonzalo Gonzalo,5.001.116 PN,18/08/1984,Masc.,pando,20090102,activo.,7134.87
259,8,45,1,  Vásquez Tito Carmen  ,CI: 11374562,06-01-2000,Femenino,LA PAZ,05-27-2018,ACTV,"Bs. 2,171.08"
260,11,14,2,  Martínez Rodríguez Adrián  ,1.066.3122 PN,06/10/1998,masc,Pn.,04/02/2018,ACTIVO,BS 2693.16
261,14,45,4,Flores\tMamani Sergio Rolando,2495541,1995/12/05,HOMBRE,Lp,2016/03/21,ACTV,3349
262,20,24,1,Escobar Ramos Víctor,9895263-lp,08-25-2001,MASCULINO,Lp,2020/05/02,activo,2395.76
263,4,41,2,cabrera zenteno mauricio rolando,14880173SC,2001/05/17,masc,SCZ,03-19-2022,en actividad,"2,675.91"
264,2,35,1,Arce Valda Rubén,CI: 1726746,26/03/2000,masc,Or,17/08/2018,ACTIVO,"Bs 2.460,75"
265,14,10,1,Mendoza Huanca Gonzalo,9127012-cb,15/10/2001,MASCULINO,Cochabamba,2020/07/12,activo,"Bs. 2,345.08"
266,19,36,2,Mendoza Valda Erick Ramiro,3630468-CB,2001/02/14,masc,COCHABAMBA,28/08/2023,Baja,"Bs.- 2,568.69"
267,2,28,12,Limachi   Condori   Jhonny,8896240LP,19870826,MASCULINO,la paz,16/08/2006,ACTIVO,8954.41
268,5,46,9,Paco Rivera Marcelo,8.630.962 LP,1994/03/26,Masc.,La Paz,15/11/2017,A,"Bs.4,932.37"
269,13,31,1,  Gutiérrez López Armando  ,12327513,01-13-2005,Masc.,la paz,08-21-2025,ACTIVO,"2,091.3"
270,17,44,1,  Flores Copa Álvaro  ,CI: 13344017,04/01/2003,masc,CHUQUISACA,20240615,en actividad,"2,111.28 Bs"
271,11,23,3,callisaya cruz alejandro,CI: 13765547,22/09/1988,Masc.,Or.,02-05-2012,EN ACTIVIDAD,2860.70
272,4,11,1,Flores Poma Lucía Fabiola,5838090-CH,20020223,MUJER,CHUQUISACA,08-05-2021,en reserva,"2,213.65 Bs"
273,11,32,5,Orellana #Ochoa Luis Edwin,7907041SC,23/11/1998,Hombre,SC,2023/08/10,activo,4254.04
274,6,16,2,Fernández Vargas Gabriela,12880133,11/01/1999,mujer,PANDO,03-15-2021,activo.,2263
275,5,1,4,Vásquez Aliaga Carlos,8684648 - lp,1997/09/11,masculino,la paz,2019/08/10,Bja,"Bs.- 3,659.24"
276,2,39,4,ORELLANA MENDOZA ANDRÉS ANTONIO,2551575 - cb,17/10/1986,Masc.,Cbba.,07/05/2007,Activo,3439.18
277,12,1,6,Gutiérrez Canaviri Pablo,7201361TJ,06-12-1989,masculino,Tj,28/08/2011,act,BS 3841.78
278,3,38,5,Sánchez Calle David Álvaro,9813089PN,01/02/1992,MASCULINO,pando,09/11/2016,EN ACTIVIDAD,3863.63
279,5,17,1,  Paco Montaño Andrés  ,14274461-lp,2002/11/27,M,LA PAZ,2023/02/21,EN ACTIVIDAD,2059
280,4,24,10,paredes saavedra wilson,12507707 - lp,12-19-1996,M,La  Paz,05-06-2014,Activo,5809.97
281,18,21,2,Aliaga Alanoca Luis,2.585.592 LP,26/11/2003,MASCULINO,La  Paz,05-22-2023,EN ACTIVIDAD,"Bs 2.396,89"
282,18,46,15,  Orellana Rojas Álvaro Edwin  ,10372679,25/12/1973,Hombre,POTOSÍ,15-07-1998,Rsv.,BS 14159.52
283,8,20,2,Rodríguez   Mendoza   Carlos,CI: 12647485,04-05-2000,masc,LA PAZ,23/07/2018,activo.,2208.79
284,19,13,2,Cusi García Carmen María,11096393-PT,12/11/2000,MUJER,Pt.,2018/02/05,en actividad,"2,831.38 Bs"
285,4,14,1,Canaviri Rojas Alejandro Álvaro,3881880-bn,06-23-2005,Masc.,BENI,03-15-2025,Activo,1940.83
286,16,8,5,Fernández #Escobar Alejandro,C.I. 2379891 SC,15/05/1992,Masculino,SCZ,27-11-2014,Activo,"Bs. 3,861.46"
287,13,26,2,Ochoa Colque Fernando,3000143,06-12-1999,masculino,SC,2017/06/07,ACTV,2571.22
288,9,10,13,Colque   Chambi   Jorge,9129112BN,04-02-1989,masculino,Beni,20110816,act,11893.57
289,7,19,10,Colque   Cusi   Antonio   Luis,9257536SC,19980816,Masculino,Sta. Cruz,09-11-2020,act,"6,579.03 Bs"
290,5,20,8,Sánchez Valda Pablo,9.245.659 SC,08-25-1994,MASCULINO,santa cruz,22/10/2013,A,"5,283.90 Bs"
291,5,24,1,Fernández Martínez Víctor,1.090.6332 LP,19/12/2003,masc,L.P.,11/11/2021,A,2152.58
292,19,33,8,QUISPE SUÁREZ ANDRÉS SERGIO,CI: 8732776,01-05-1994,Masculino,CBBA,2019/10/01,DADO DE BAJA,"5,009.27 Bs"
293,18,14,1,Laura Paredes Sergio,11660984 - lp,05-02-2002,HOMBRE,la paz,13/10/2022,ACTV,"2,282.22"
294,7,27,4,Sánchez Castillo Luis,CI: 8263032,20/05/1992,masculino,POTOSÍ,2017/11/25,EN ACTIVIDAD,"Bs. 3,788.51"
295,7,24,14,CHURA SALAZAR CRISTIAN,C.I. 2004647 SC,19720308,masc,SCZ,12-22-1997,A,"Bs.14,342.08"
296,15,32,4,Gutiérrez Rojas Jorge,14372192-LP,07-14-1997,M,LaPaz,2015/04/06,activo,"2,919.72"
297,13,47,1,Limachi Cabrera Luis,12029855-cb,20000404,H,Cbba.,17-12-2022,R,2214.49
298,5,7,2,Arce Paco Wilson,8094564 - or,09/04/2000,Masc.,oruro,07-09-2021,R,2166
299,2,45,1,Laura Zenteno Yolanda,11827974,18-05-2001,Fem.,Cbba.,21/05/2022,baja.,"Bs.- 2,109.48"
300,14,3,4,Cruz Saavedra Alejandro,C.I. 8362611 CH,27-02-1988,MASCULINO,Sucre,24/08/2013,ACTIVO,"Bs 3.747,99"
301,15,42,2,  Callisaya Quispe Adrián  ,CI: 11760449,20000113,MASCULINO,Or.,2019/11/10,Activo,"2,186.67 Bs"
302,14,24,1,Zenteno Martínez Hugo,4333024 - pt,20000713,masculino,POTOSÍ,01/04/2022,Rsv,2479.25
303,14,50,15,Morales Salazar Mario Wálter,13055829-LP,1972/11/16,hombre,Lp,04-23-1997,en actividad,18141.05
304,8,40,3,Limachi Blanco Rodrigo Hugo,5.868.629 LP,12/04/1994,hombre,LP,2019/02/01,A,3334.3
305,1,17,1,  Apaza Chambi Freddy  ,CI: 14459496,13/05/2004,masculino,BENI,18/03/2024,activo.,"1,988.39 Bs"
306,9,40,4,Orellana Torrez Daniel,CI: 8215646,19880911,masculino,Oruro,11/03/2012,activo,"Bs. 3,391.10"
307,12,46,9,RODRÍGUEZ CABRERA GERMÁN,1684371-BN,15/08/1996,MASCULINO,Bn.,28-02-2021,ACTV,"Bs.- 5,187.61"
308,16,44,3,Salazar Vargas Juan,2289085,01/06/1983,M,Cochabamba,11-22-2005,EN ACTIVIDAD,"2,886.20 Bs"
309,19,9,4,Condori Tito Juan,8.601.790 SC,01-26-1986,MASCULINO,SANTA CRUZ,20080626,act,2962.14
310,10,32,1,Tito Cusi Cristian,CI: 3585950,12-26-2004,hombre,beni,20/11/2024,ACTV,"2,309.24 Bs"
311,8,42,9,paredes flores antonio mauricio,6733527,05-12-1998,H,Lp,20230921,A,"5,076.11"
312,14,7,8,Machaca   Condori   José,9567311SC,11-24-1995,MASCULINO,SCZ,06-09-2017,ACTIVO,"Bs 5.619,09"
313,6,14,5,COLQUE HERRERA ARMANDO,5447210,1985/02/24,masculino,Sta Cruz,11-04-2007,ACTV,BS 3250.42
314,3,9,4,Yujra\tCallisaya Antonio,14499631 - sc,1984/01/07,hombre,SCZ,2003/01/23,Baja,3766.19
315,16,2,11,CABRERA GUTIÉRREZ FRANZ SERGIO,8470322,08-10-1989,hombre,oruro,19-05-2010,ACTV,7256.40
316,8,46,11,Castillo Rivera Rolando,C.I. 12386158 SC,01/09/1976,HOMBRE,Sta Cruz,11/10/2001,act,6977.66
317,20,46,5,CASTILLO MENDOZA VÍCTOR,1.249.1958 SC,19940310,MASCULINO,santa cruz,27/07/2018,RESERVA,"Bs.3,973.85"
318,8,14,4,Blanco Limachi David,CI: 9283332,01-01-1997,Hombre,beni,12/05/2020,en actividad,3068.21
319,5,45,3,aliaga condori ramiro,C.I. 10345284 OR,22/10/1996,Masculino,Or.,2015/12/02,RESERVA,"2,944.04"
320,17,32,9,MACHACA LAURA MAURICIO ÁLVARO,5.901.010 LP,1989/03/21,masc,LaPaz,27/06/2012,activo.,"Bs. 6,406.56"
321,7,25,11,CHURA CALLISAYA LUIS,9907521-PT,03-15-1987,HOMBRE,Potosí,2006/04/23,Activo,7996.41
322,8,9,8,COLQUE RAMOS ERICK,13641752LP,1994/07/14,Masc.,LA PAZ,26/09/2019,Activo,"Bs 5.892,23"
323,17,19,1,Colque Chura Jorge,10639471-sc,2004/07/22,MASCULINO,Sta Cruz,12-24-2024,en actividad,"Bs.- 2,097.14"
324,10,6,2,Valda Arce Iván,7786479-PT,11/09/1998,Masc.,Potosi,12-24-2019,Act.,2219.5
325,2,24,1,ALIAGA SÁNCHEZ RUBÉN,CI: 9477100,17/11/2002,Hombre,SANTA CRUZ,02-02-2022,ACTV,2491.29
326,13,34,2,Mendoza   Apaza   Raúl,12189100 - cb,11-02-2001,Masculino,Cochabamba,07/10/2023,Act.,"2,395.95 Bs"
327,14,29,12,  Escobar Ochoa Arturo  ,5424046 - or,14-12-1990,Masculino,ORURO,03-17-2010,activo,BS 9357.44
328,2,34,4,  Limachi Rodríguez Roberto  ,10592620LP,02-12-1984,H,La  Paz,10/06/2006,EN ACTIVIDAD,2918.54
329,16,47,6,SALAZAR SÁNCHEZ PEDRO,6667733SC,1984/03/17,hombre,Sta. Cruz,22/08/2009,act,"Bs 4.661,60"
330,19,41,1,Tito Flores Iván,12864991TJ,20020921,Masc.,TARIJA,2020/11/18,activo.,"Bs.- 2,500.41"
331,3,35,9,  Torrez Blanco Paola  ,14919897,06-13-1997,femenino,La  Paz,28/08/2015,RESERVA,5521.52
332,6,2,4,LIMACHI YUJRA CRISTIAN ANDRÉS,C.I. 11309186 LP,13/05/1981,masc,L.P.,2000/06/05,ACTV,"Bs. 3,220.70"
333,1,27,11,Martínez #Montaño Roberto,2.098.206 SC,09/01/1982,Masc.,SANTA CRUZ,2001/04/25,Act.,"Bs 8.141,73"
334,20,19,10,MACHACA ESCOBAR RAÚL,1.016.794 CB,1998/03/01,HOMBRE,cochabamba,09/08/2016,Act.,BS 7162.0
335,7,40,8,Orellana #López Jorge,5688532 - sc,22/06/1996,masc,Sta. Cruz,20191109,DADO DE BAJA,5524.1
336,18,45,7,Mamani Cabrera Juan,3911451 - lp,1995/07/18,Hombre,LP,21-11-2014,Activo,"Bs 4.124,56"
337,9,44,1,Chura Rojas Juan Wálter,4716501-cb,03/04/2003,masculino,CBBA,2025/11/10,en actividad,2015.96
338,19,44,2,Salazar Castillo Roberto,C.I. 10257419 SC,2000/02/19,H,SANTA CRUZ,03-12-2019,activo,2825
339,11,28,1,Valda Montaño Rubén,8165791,20040504,Masc.,LaPaz,12/08/2025,act,"Bs. 1,898.69"
340,7,11,3,Mendoza Callisaya Carlos,2248902-cb,03-05-1990,masc,Cochabamba,01-16-2009,Activo,"2,571.62"
341,15,38,1,Aliaga Chambi Freddy,13819446,02-02-1999,M,SC,2017/07/11,en reserva,2327.62
342,20,43,3,Poma García Javier,7897247SC,08-13-1980,Hombre,santa cruz,20/07/2003,ACTIVO,2855.65
343,16,47,8,López Alanoca Gonzalo,CI: 6962475,1997/08/06,Hombre,SC,03-26-2018,activo.,BS 4619.18
344,2,16,2,MAMANI OCHOA RAMIRO,12379991 - sc,1998/07/12,masculino,santa cruz,2017/04/21,rsv,2713.95
345,8,30,3,Machaca Condori Marcelo,1.062.026 SC,16/04/1986,M,santa cruz,13/12/2009,A,"2,715.82 Bs"
346,11,36,2,Rojas Fernández Yolanda Ana,5395611,2001/03/07,Femenino,la paz,20190327,A,"2,200.89 Bs"
347,4,10,1,Arce Copa Sergio,12927629-CH,07/04/2000,HOMBRE,Chq.,23/07/2022,activo.,"Bs. 2,265.70"
348,7,47,11,Saavedra López Mauricio,10799273TJ,08-26-1977,Masc.,tarija,03/10/2002,Activo,"7,248.26 Bs"
349,7,15,1,Poma Alanoca Jimena,10797602-bn,08-28-2001,MUJER,Beni,07/07/2020,ACTIVO,"Bs. 2,456.55"
350,14,24,8,Copa   Villca   Pedro,8844203-cb,09/06/1995,Masc.,cochabamba,01-06-2019,ACTIVO,BS 4834.37
351,9,20,5,Suárez Rojas Luis,12326421-CB,23/04/1988,hombre,Cbba.,24-12-2008,activo,"3,527.69 Bs"
352,17,38,3,MENDOZA TICONA MARIO,8959753-or,08-24-1997,masculino,oruro,26-06-2022,activo,"Bs 3.311,22"
353,13,49,8,Orellana Apaza Adrián Pablo,8032125-cb,05-11-1996,HOMBRE,cochabamba,10-26-2014,act,4637
354,3,11,4,  Calle García Raúl  ,8575505,19831118,H,COCHABAMBA,27/01/2003,activo.,3388.39
355,18,27,2,Machaca Limachi Sergio,2857975 - cb,03/12/2005,HOMBRE,Cbba,04-05-2024,Rsv.,"Bs.2,357.32"
356,11,37,15,zenteno poma mario,5141290 - sc,1972/08/15,H,Sta. Cruz,1997/12/03,Act.,"Bs 17.828,77"
357,13,45,1,Machaca   Colque   Franz,10539781LP,19980428,masculino,LP,20170521,activo.,2309.99
358,17,3,2,Martínez Limachi Gustavo,C.I. 5240720 CB,01-03-2005,M,Cbba,22/12/2025,Act.,"Bs 2.410,87"
359,9,11,10,  Ramos Canaviri Luis Pablo  ,3353101 - bn,20/01/1990,H,BENI,03-10-2009,Act.,"Bs. 6,970.82"
360,13,45,1,Choque Orellana Álvaro,9.772.377 SC,02/08/2002,Masculino,Santa Cruz,01-02-2024,activo,"Bs 2.376,30"
361,6,3,2,García Arce Edwin,1.214.1896 TJ,09-04-2004,masc,TARIJA,18/06/2024,Activo,"Bs. 2,593.51"
362,2,5,6,Mendoza Huanca René,5671743,19860710,HOMBRE,SC,20110223,act,"Bs.4,818.07"
363,3,22,10,Valda Callisaya Ramiro Alejandro,12179843-cb,19/10/1988,HOMBRE,Cochabamba,17/07/2013,act,BS 5978.23
364,8,47,1,Rojas Gutiérrez Wálter,11771625-cb,2005/12/11,H,Cochabamba,11/05/2023,Activo,"Bs 2.371,93"
365,17,21,6,Arce   Yujra   Pablo,4731991-sc,19850821,MASCULINO,Santa Cruz,28/02/2003,activo.,"4,771.61"
366,14,12,3,Montaño   Sánchez   Miguel,4314108-lp,05-10-1987,MASCULINO,LaPaz,11-07-2012,activo.,3253.16
367,18,47,2,paredes quiroga nelson rené,6037049-LP,2000/05/13,masc,Lp,20210515,activo,2546.61
368,16,16,1,Machaca Mamani Ramiro,4188068-LP,07-08-2001,masculino,LaPaz,25/06/2023,EN ACTIVIDAD,BS 2177.73
369,16,20,6,Limachi Poma Rolando,7260332-pn,1998/02/14,Hombre,Pn.,2016/02/13,rsv,"Bs.3,774.58"
370,5,17,1,  Condori Machaca Elizabeth  ,11585629,05/11/2005,femenino,Pt,2024/04/20,ACTIVO,"2,307.32 Bs"
371,19,20,6,Sánchez Castillo Franz,12047562-BN,28/12/1993,hombre,Bn,21/02/2012,null,"4,574.89"
372,7,32,2,Morales Vargas Javier,12811951CB,04/09/2000,hombre,Cbba.,2021/10/27,ACTV,2275.71
373,16,32,3,Torrez   Huanca   Miguel,CI: 10825516,02/01/1983,HOMBRE,cochabamba,20050122,A,"Bs.- 3,438.86"
374,12,43,3,yujra valda franz,6288577 - cb,1992/07/20,MASCULINO,Cochabamba,2010/06/28,activo.,"Bs. 2,640.16"
375,7,1,7,Yujra\tColque Wálter,CI: 9638823,1990/01/21,Masculino,Tj,01-26-2013,EN ACTIVIDAD,5056
376,2,9,12,Rojas Canaviri Jenny,9725065-LP,10/02/1990,Femenino,LA PAZ,03-15-2015,baja,"Bs. 8,752.92"
377,5,35,2,Pérez Colque Martha,12250822,26/02/2005,femenino,CBBA,2025/06/28,activo.,2556
378,4,37,2,Rodríguez Flores Rubén Miguel,10935475,03-28-2003,hombre,Cbba,2023/07/19,Act.,"2,358.10 Bs"
379,16,44,2,Martínez Gutiérrez Jorge Marcelo,CI: 5979872,20/03/2005,Masculino,Potosi,20240324,ACTV,"2,725.97 Bs"
380,8,45,2,Choque Arce Germán,14889600,28/03/1998,hombre,Cbba,12-13-2019,EN ACTIVIDAD,2736
381,4,9,6,  Fernández Callisaya Arturo  ,n/a,28/10/1990,MASCULINO,BENI,n/a,en actividad,n/a
382,6,4,10,MORALES CHURA MARISOL,6965707,21/09/1989,Fem.,La  Paz,2012/10/14,B,"Bs.6,747.60"
383,9,41,6,Aliaga Montaño Pablo,11910407-TJ,06-01-1994,HOMBRE,tarija,03/02/2013,ACTIVO,BS 4378.18
384,18,12,1,sánchez salazar enrique,CI: 6456436,12-01-2004,Masculino,L.P.,20250927,ACTIVO,"Bs. 2,406.05"
385,6,6,2,MARTÍNEZ RODRÍGUEZ HÉCTOR,10648258-lp,03/01/2002,H,La Paz,20200910,activo.,"Bs.- 2,533.32"
386,7,45,13,Callisaya Martínez Daniel,6907545-sc,1978/11/27,masc,santa cruz,04-02-2000,Act.,BS 9869.08
387,14,45,3,Cabrera Morales Rubén,2396771 - cb,09-07-1984,Masc.,cochabamba,24/11/2003,Act.,"Bs 3.119,81"
388,3,22,7,Torrez   Rodríguez   David,12475267-sc,11/06/1982,Masculino,SCZ,20040328,Act.,"4,474.05 Bs"
389,20,7,3,Callisaya Salazar Rolando Víctor,CI: 10253343,03-11-1981,hombre,tarija,07-06-2006,A,3217.17
390,8,44,6,Paco #Torrez Daniel Jhonny,1.317.0515 LP,19931215,masc,La  Paz,2013/08/12,ACTIVO,4202
391,19,4,2,HUANCA TICONA MIGUEL,CI: 2570911,1999/12/10,masculino,LaPaz,08-26-2021,Rsv.,"Bs.2,846.62"
392,20,29,1,Callisaya Suárez Adrián Franz,5097436-or,11-25-2000,hombre,ORURO,04-06-2022,ACTIVO,"Bs 2.424,01"
393,1,48,2,Fernández   Sánchez   Cristian,NULL,10/04/2004,Masculino,Santa Cruz,20/08/2022,Act.,NULL
394,8,31,3,Machaca Vásquez Mario,13909188 - lp,06-10-1992,MASCULINO,la paz,2015/07/06,activo,"Bs 2.792,53"
395,6,43,1,López Poma Gonzalo,6556840,2001/08/22,hombre,cochabamba,2021/02/14,act,2197.07
396,14,39,5,Mamani Aliaga Daniel Gustavo,1873083SC,16/07/1980,H,SCZ,16/05/2002,A,3719
397,20,12,12,Blanco #Arce Gonzalo,13255030,21/10/1981,M,L.P.,08/03/2005,activo,"Bs 8.539,39"
398,10,8,1,  Paredes Calle Edwin  ,8165093,2002/06/09,Hombre,L.P.,14/12/2022,A,"Bs.- 2,460.77"
399,11,24,2,Sánchez\tRodríguez Rolando,1.229.203 LP,25-12-2003,MASCULINO,LA PAZ,20/09/2025,en actividad,"Bs. 2,612.69"
400,18,47,2,Sánchez Ticona Raúl,C.I. 13767260 CB,01-05-2000,Hombre,Cbba,07-18-2019,ACTIVO,"Bs.- 2,793.69"
401,2,37,4,Morales Chambi Gustavo,3163157,1981/12/07,,,,A,"Bs. 3,777.66"
402,10,46,3,Canaviri Ticona Daniela,6090377-sc,04/09/1988,FEMENINO,SC,02-04-2008,activo,"Bs.2,812.66"
403,3,46,4,Apaza Alanoca Raúl Enrique,7192640,05-24-1997,H,SANTA CRUZ,20/07/2017,activo,"3,894.97 Bs"
404,11,38,2,Castillo\tAliaga Jhonny,5349090 - sc,10-20-2003,masculino,SC,2024/02/02,en actividad,2674.66
405,20,36,3,Ticona Paco Cristian,11969358,08/08/1986,hombre,SC,07/05/2009,EN ACTIVIDAD,3276.96
406,3,37,1,Vásquez   Fernández   Sonia,11643027-sc,1999/09/25,fem,SCZ,06/09/2017,act,"2,428.56"
407,6,12,4,Ticona Vargas Hugo Rolando,1353115-sc,20/11/1992,Masc.,SANTA CRUZ,2013/02/05,activo,3140.16
408,9,10,1,Tito   Chura   Juan,5166503,1998/01/26,masculino,Lp,24/09/2016,EN ACTIVIDAD,"Bs. 2,432.80"
409,4,33,4,Quispe Zenteno Mauricio,10137578-LP,01-03-1993,hombre,LA PAZ,01-08-2014,ACTIVO,"Bs. 3,040.32"
410,20,10,1,Rodríguez Laura Luis,2422780-BN,17-07-2000,Hombre,Beni,06/10/2020,EN ACTIVIDAD,"Bs.1,969.15"
411,11,10,2,Blanco #Mamani Germán,3493814,20040824,MASCULINO,tarija,02-04-2025,EN ACTIVIDAD,"2,844.69 Bs"
412,18,32,8,,,1996/09/16,Masculino,BENI,07-03-2017,en actividad,
